事業所番号,求人番号,都道府県,職安管轄コード,産業分類コード,職業分類コード,職業細分類コード,受付番号,事業所名,事業所名フリガナ,郵便番号,所在地,事業内容,従業員数(全体),従業員数(就業場所),従業員数(男性),従業員数(女性),資本金(億円),職種,備考,休日日数,給与(円),賞与(基本給、円),賞与(平均、万円),交代制,鉄道路線,最寄駅,求人Ｍ,求人Ｆ,求人ＭＦ,就業場所,職種分類,応募先郵便番号,応募先,採用担当部署,採用担当者,採用担当TEL,採用担当FAX,前年度事業所紐づけ
2303-208621-2,23030-488859,愛知県,2303,89,8,2,250197,東レエンジニアリング中部　株式会社,トウレエンジニアリングチュウブ,455-0024,名古屋市港区大江町９ー１,各種プラント設計、計装設備工事などの設計と施工。各種設備の機械及び電計盤の設計など,387,15,13,2,0.5,プラント設備の設計・施工管理（東海市）,,121,198400,5.32,0.00,フレックス,名鉄常滑線,名和,,,1,東海市,"技能（検査・管理）",455-0024,名古屋市港区大江町９ー１,総務部人事課,伊藤　剛,052-613-5243,052-613-5364
2303-208621-2,23030-479959,愛知県,2303,89,75,1,250198,東レエンジニアリング中部　株式会社,トウレエンジニアリングチュウブ,455-0024,名古屋市港区大江町９ー１,各種プラント設計、計装設備工事などの設計と施工。各種設備の機械及び電計盤の設計など,387,15,13,2,0.5,生産設備のメンテナンス（東海市）,,121,198400,5.32,0.00,フレックス,名鉄常滑線,名和,,,1,東海市,"技能（検査・管理）",455-0024,名古屋市港区大江町９ー１,総務部人事課,伊藤　剛,052-613-5243,052-613-5364
2311-189315-6,23110-171859,愛知県,2311,235,79,3,250199,愛同工業　株式会社,アイドウコウギョウ,474-0052,愛知県大府市長草町山口５１－２,アルミダイカストの自動車部品の鋳造～加工の一貫生産,411,134,79,55,0.33,自動車部品の検査,,121,190000,5.30,0.00,なし,JR武豊線,大府,,,1,大府市、東海市、知多市,"技能（検査・管理）",474-0052,愛知県大府市長草町山口５１－２,経営管理本部人事課、主事,竹内,0562-47-7878,0562-47-7837,230147　愛同工業　株式会社　自動車部品の検査
2302-644057-5,23020-851659,愛知県,2302,751,56,3,250200,エスパシオエンタープライズ　株式会社,エスパシオエンタープライズ,460-0003,名古屋市中区錦三丁目23番18号,旅館、ホテル、その他宿泊施設及び料飲施設の経営,537,500,317,183,0.8,ホテルサービス（宿泊、宴会、レストラン）,,108,198000,2.00,0.00,なし,地下鉄鶴舞線,伏見,,,1,名古屋市中区,接客・販売,460-0003,名古屋市中区錦三丁目23番18号,人事総務部人事総務課,仲間　咲紀,052-231-8032,052-231-7954,240326　エスパシオエンタープライズ株式会社　ホテルサービス（宿泊、宴会、レストラン）
2201-104240-5,22010-479859,静岡県,2201,704,58,3,250201,鈴与レンタカー　株式会社,スズヨレンタカー,420-0859,静岡県静岡市葵区栄町１－３,レンタカー,567,16,9,7,0.2,レンタカー店舗事務,,115,210000,3.20,0.00,シフト,西名古屋港線（あおなみ線）,小本,,,1,東海市、名古屋市中川区、常滑市,接客・販売,420-0859,静岡県静岡市葵区栄町１－３　鈴与静岡ビル5F,営業本部,増田　有季,054-275-2011,054-275-2022,240195　鈴与レンタカー　株式会社　レンタカー店舗事務
2302-217138-8,23020-1083859,愛知県,2302,854,50,1,250202,社会福祉法人　共愛会,キョウアイカイ,454-0945,名古屋市中川区下之一色町権野108-4,介護老人福祉施設等運営,500,86,24,62,13.32,介護職,,100,160000,4.00,0.00,シフト,近鉄名古屋線,伏屋,,,3,名古屋市中川区、知多市,介護,454-0945,名古屋市中川区下之一色町権野108-4,法人本部,布目,052-301-0050,052-301-0020,240334　社会福祉法人　共愛会　介護職
2302-217138-8,23020-1088559,愛知県,2302,854,55,7,250203,社会福祉法人　共愛会,キョウアイカイ,454-0945,名古屋市中川区下之一色町権野１０８番地の４,介護老人福祉施設等運営,500,86,24,62,13.32,調理員,,111,163000,4.00,0.00,シフト,近鉄名古屋線,伏屋,,,1,知多市、名古屋市中川区,"技能（食品製造・調理）",454-0945,名古屋市中川区下之一色町権野１０８番地の４,法人本部,布目,052-301-0050,052-301-0020,230369　社会福祉法人　共愛会　調理員
1302-412591-0,13010-3231559,東京都,1302,441,34,1,250204,日本梱包運輸倉庫株式会社,"ニッポンコンポウウンユソウコ",476-0003,愛知県東海市荒尾町大狭間24-21,輸送・倉庫・梱包の基幹事業などの総合物流企業,5314,26,17,9,5,事務職／東海営業所,,121,174000,4.60,0.00,なし,名鉄常滑線,聚楽園,,1,,東海市,事務,104-0044,東京都中央区明石町6-17,本社人事部,大久保,03-3546-3601,03-3542-6747
1302-412591-0,13010-3141159,東京都,1302,441,95,3,250205,日本梱包運輸倉庫株式会社,"ニッポンコンポウウンユソウコ",457-0823,名古屋市南区元塩町6-18-1,輸送・倉庫・梱包の基幹事業などの総合物流企業,5314,26,17,9,5,現業職／名古屋営業所,,114,174000,4.60,0.00,なし,名鉄名古屋本線,本星崎,,,1,名古屋市南区,"技能（その他）",104-0044,東京都中央区明石町6-17,本社人事部,大久保,03-3546-3601,03-3542-6747
1302-412591-0,13010-3143559,東京都,1302,441,34,1,250206,日本梱包運輸倉庫株式会社,"ニッポンコンポウウンユソウコ",457-0823,名古屋市南区元塩町6-18-1,輸送・倉庫・梱包の基幹事業などの総合物流企業,5314,26,17,9,5,事務職／名古屋営業所,,114,174000,4.60,0.00,なし,名鉄名古屋本線,本星崎,,,1,名古屋市南区,事務,104-0044,東京都中央区明石町6-17,本社人事部,大久保,03-3546-3601,03-3542-6747
2307-615859-9,23070-336259,愛知県,2307,950,34,1,250207,カリモク皆栄　株式会社,カリモクカイエイ　,470-2191,愛知県知多郡東浦町大字藤江字皆栄町108,企画・開発マネジメント業務,141,141,99,42,0.3,事務職（経理）,,117,189000,3.00,0.00,なし,JR武豊線,東浦,,,1,東浦町,事務,470-2191,愛知県知多郡東浦町大字藤江字皆栄町108,総務部総務課、主任,村上凌平,0562-83-1111,0562-83-6699,230041　カリモク皆栄　株式会社　事務職
2307-180727-5,23070-269959,愛知県,2307,131,73,4,250208,カリモク家具　株式会社,カリモクカグ,470-2191,愛知県知多郡東浦町大字藤江字皆栄町１０８,木製インテリア家具の製造・販売,916,272,152,120,0.45,"技能職",,117,189000,3.00,0.00,なし,JR武豊線,緒川,,,1,東浦町,"技能（機械、製造、技術）",470-2191,愛知県知多郡東浦町大字藤江字皆栄町１０８,総務部総務課、主任,村上　凌平,0562-83-1111,0562-83-6699,"240172　カリモク家具　株式会社　技能職"
2307-200143-7,23070-335159,愛知県,2307,131,73,4,250209,(希望者は250208を入力、記入)　豊明木工　株式会社,トヨアケモッコウ,470-2105,愛知県知多郡東浦町大字藤江字皆栄町１０８,木製インテリア家具の製造,179,113,83,30,0.2,"技能職",,117,189000,3.00,0.00,なし,JR武豊線,東浦,,,1,東浦町,"技能（機械、製造、技術）",470-2105,愛知県知多郡東浦町大字藤江字皆栄町１０８,総務部総務課、主任,"村上 凌平",0562-83-1111,0562-83-6699,"230044　豊明木工　株式会社　技能職"
2307-181635-9,23070-338459,愛知県,2307,131,73,4,250210,(希望者は250208を入力、記入)　東浦カリモク　株式会社,ヒガシウラカリモク,470-2105,愛知県知多郡東浦町大字藤江字南栄町１－１４,木製インテリア家具の製造,228,216,156,60,0.4,"技能職",,116,189000,3.00,0.00,なし,JR武豊線,東浦,,,1,東浦町,"技能（機械、製造、技術）",470-2105,愛知県知多郡東浦町大字藤江字南栄町１－１４,総務部総務課、主任," 村上　凌平",0562-83-1111,0562-83-6699,"240174　東浦カリモク　株式会社(希望者は240172を選択する)　技能職"
2307-201331-4,23070-339759,愛知県,2307,131,73,4,250211,(希望者は250208を入力、記入)　知多カリモク　株式会社,チタカリモク,470-2105,愛知県知多郡東浦町大字藤江字南栄町１－１５,原材料の乾燥、木製インテリア家具部材の製造,68,68,48,20,0.2,"技能職",,117,189000,3.00,0.00,なし,JR武豊線,東浦,,,1,東浦町,"技能（機械、製造、技術）",470-2105,愛知県知多郡東浦町大字藤江字南栄町１－１５,総務部総務課、主任,村上　凌平,0562-83-1111,0562-83-6699,"240173　知多カリモク　株式会社(希望者は240172を選択する)　技能職"
2311-189050-0,23110-684159,愛知県,2311,311,80,99,250212,愛三工業　株式会社,アイサンコウギョウ,474-8588,愛知県大府市共和町一丁目１番地の１,自動車部品等の開発、設計から製造、販売,3298,2003,1631,372,107.08,事務一般職（トレーサー）,,121,195000,5.50,0.00,なし,JR東海道本線,共和,,2,,大府市,事務,474-8588,愛知県大府市共和町一丁目１番地の１,人事部人財開発室　採用・要員グループ,前田　明里,080-5049-4880,0562-48-6217,240284　愛三工業　株式会社　事務一般職（トレーサー）
2311-189050-0,23110-680959,愛知県,2311,311,79,2,250213,愛三工業　株式会社,アイサンコウギョウ,474-8588,愛知県大府市共和町一丁目１番地の１,自動車部品等の開発、設計から製造、販売,3298,2003,1631,372,107.08,愛三学園生,,121,200000,5.50,0.00,なし,JR東海道本線,共和,,,1,大府市,"技能（その他）",474-8588,愛知県大府市共和町一丁目１番地の１,人事部人財開発室　採用・要員グループ,前田　明里,080-5049-4880,0562-48-6217,240283　愛三工業　株式会社　愛三学園生
2307-204445-4,23070-126759,愛知県,2307,311,74,11,250214,オートリブ　株式会社　中部事業所,オートリブ　チュウブジギョウショ,478-0046,愛知県知多市北浜町11番19,自動車安全部品（エアバッグ・シートベルト・ステアリングホイール）の製造販売,1500,435,297,138,4.99,自動車安全部品の組立業務,,120,190000,5.20,0.00,2交代,名鉄常滑線,朝倉,,,1,知多市,"技能（機械、製造、技術）",478-0046,愛知県知多市北浜町11番19,総務人事課,橋本　亜希子,050-3852-2558,0562-57-9910,240303　オートリブ　株式会社　中部事業所　自動車安全部品の組立業務
2302-645065-7,23020-761459,愛知県,2302,569,45,5,250215,株式会社　ヤマナカ,ヤマナカ,453-0862,名古屋市中村区岩塚町字西枝１－１,スーパーマーケット事業,3500,80,10,70,42,スーパーマーケットで生鮮食品・一般食品の販売と接客を行う店舗スタッフ,,115,192000,3.00,0.00,なし,JR関西本線,八田,,,1,名古屋市中村区、西尾市、豊橋市,接客・販売,453-0862,名古屋市中村区岩塚町字西枝１－１,人事ユニット　人材育成チーム　人材育成チームリーダー,橋本　将人,052-413-7201,052-413-7245,240256　株式会社　ヤマナカ　販売職
2303-201457-6,23030-584659,愛知県,2303,97,95,3,250216,フジパングループ本社　株式会社,フジパングループホンシャ,470-1112,愛知県豊明市新田町井ノ花18　フジパン株式会社　豊明工場,パン・和洋菓子の製造と販売のほか物流、パン製造直売所の運営　等,4388,775,512,263,46.8,フジパン（株）豊明　製品管理（在籍出向）,,116,212930,4.19,0.00,2交代,名鉄名古屋本線,前後,,,1,豊明市,"技能（食品製造・調理）",470-1112,愛知県豊明市新田町井ノ花18　フジパン株式会社　豊明工場,総務課　課長,藤尾　和久,0562-92-1318,0562-93-7692,240325　フジパングループ本社　株式会社　フジパン（株）豊明　製品管理（在籍出向）
2303-201457-6,23030-581559,愛知県,2303,97,72,1,250217,フジパングループ本社　株式会社,フジパングループホンシャ,470-1112,愛知県豊明市新田町井ノ花18　フジパン株式会社　豊明工場,パン・和洋菓子の製造と販売のほか物流、パン製造直売所の運営　等,4388,775,512,263,46.8,フジパン（株）豊明　生産（在籍出向）,,116,212930,4.19,0.00,2交代,名鉄名古屋本線,前後,,,1,豊明市,"技能（食品製造・調理）",470-1112,愛知県豊明市新田町井ノ花18　フジパン株式会社　豊明工場,総務課　課長,藤尾　和久,0562-92-1318,0562-93-7692,240324　フジパングループ本社　株式会社　フジパン（株）豊明　生産（在籍出向）
2307-917011-5,23070-85159,愛知県,2307,482,42,1,250218,株式会社　トラジャルフレール,トラジャルフレール,479-0881,愛知県常滑市セントレア４丁目１１番地３　セントレアロジスティクスセンター　４Ｆ,空港内のグランドハンドリング、国際貨物上屋業務など,362,37,15,22,0.47,国際事務、プランナー業務、貨物ドキュメンテーション業務,,112,190000,2.00,0.00,シフト,名鉄空港線,中部国際空港,,,1,常滑市,その他,479-0881,愛知県常滑市セントレア４丁目１１番地３　セントレアロジスティクスセンター　４Ｆ,企画総務HR課,千葉　祥子,052-619-7881,0569-36-2237,240259　株式会社　トラジャルフレール　国際事務、プランナー業務、貨物ドキュメンテーション業務
2307-917011-5,23070-115259,愛知県,2307,482,95,2,250219,株式会社　トラジャルフレール,トラジャルフレール,479-0881,愛知県常滑市セントレア４丁目１１番地３　セントレアロジスティクスセンター　４Ｆ,空港内のグランドハンドリング、国際貨物上屋業務など,362,95,85,10,0.47,グランドハンドリング,,112,190000,2.00,0.00,2交代,名鉄空港線,中部国際空港,,,1,常滑市,その他,479-0881,愛知県常滑市セントレア４丁目１１番地３　セントレアロジスティクスセンター　４Ｆ,企画総務HR課,千葉　祥子,052-619-7881,0569-36-2237,240261　株式会社　トラジャルフレール　グランドハンドリング
2307-917011-5,23070-117459,愛知県,2307,482,42,1,250220,株式会社　トラジャルフレール,トラジャルフレール,479-0881,愛知県常滑市セントレア４丁目１１番地３　セントレアロジスティクスセンター　４Ｆ,空港内のグランドハンドリング、国際貨物上屋業務など,362,66,5,61,0.47,グランドスタッフ,,112,190000,2.00,0.00,2交代,名鉄空港線,中部国際空港,,,1,東海市,接客・販売,479-0881,愛知県常滑市セントレア４丁目１１番地３　セントレアロジスティクスセンター　４Ｆ,企画総務HR課,千葉　祥子,052-619-7881,0569-36-2237,240260　株式会社　トラジャルフレール　グランドスタッフ
2307-917011-5,23070-114159,愛知県,2307,482,96,3,250221,株式会社　トラジャルフレール,トラジャルフレール,479-0881,愛知県常滑市セントレア４丁目１１番地３　セントレアロジスティクスセンター　４Ｆ,空港内のグランドハンドリング、国際貨物上屋業務など,362,57,18,39,0.47,ホテル客室清掃,,112,190000,2.00,0.00,なし,名鉄空港線,中部国際空港,,,1,常滑市,その他,479-0881,愛知県常滑市セントレア４丁目１１番地３　セントレアロジスティクスセンター　４Ｆ,企画総務HR課,千葉　祥子,052-619-7881,0569-36-2237,240257　株式会社　トラジャルフレール　ホテル客室清掃
2303-90586-2,23030-308859,愛知県,2303,901,75,1,250222,東海プラントエンジニアリング　株式会社,トウカイプラントエンジニアリング,457-0856,名古屋市南区南陽通６丁目１番地,各種産業設備プラントの設計施工及びメンテナンス,425,221,204,17,2,機械整備職,,120,200000,5.00,0.00,なし,名鉄常滑線,太田川,,,1,東海市,"技能（機械、製造、技術）",457-0856,名古屋市南区南陽通６丁目１番地,業務統括本部　管理部人事課　課長,浅井　元彦,052-691-2141,052-692-7716,240210　東海プラントエンジニアリング　株式会社　機械整備職
2307-205994-1,23070-563459,愛知県,2307,99,40,99,250223,名古屋エアケータリング　株式会社,ナゴヤエアケータリング,479-0881,愛知県常滑市セントレア１－１,機内食調理及び機用品の搭載,271,271,131,140,1,生産業務,,108,196100,4.00,0.00,シフト,名鉄空港線,中部国際空港,,,1,常滑市,その他,479-0881,愛知県常滑市セントレア１－１,総務部,矢田晴香,0569-38-7900,0569-38-7910,240039　名古屋エアケータリング　株式会社　業務係
2303-100010-3,23030-745959,愛知県,2303,311,74,11,250224,株式会社　鳴海合金製作所,ナルミゴウキンセイサクショ,458-0832,名古屋市緑区漆山１０７,自動車部品・建設機械部品等の製造,132,94,58,36,0.39,組立,,116,185000,4.00,0.00,なし,名鉄名古屋本線,左京山,,,2,名古屋市緑区,"技能（機械、製造、技術）",458-0832,名古屋市緑区漆山１０７,総務課　主任,橋口　千里,052-621-3151,052-621-2477,240282　株式会社　鳴海合金製作所　組立
2307-180687-0,23070-94259,愛知県,2307,484,71,4,250225,日鉄ファーストテック株式会社　名古屋支店,ニッテツファーストテック　ナゴヤシテン,476-0015,"愛知県東海市東海町５丁目３番地　日本製鉄　株式会社　名古屋製鉄所構内",自動車、食缶、飲料缶などの産業向け鋼板コイルの梱包事業,767,101,95,6,0.7,鋼板、帯鋼の梱包、整理等,,101,201500,0.00,114.00,3交代,名鉄常滑線,新日鉄前,1,,,東海市,"技能（検査・管理）",476-0015,"愛知県東海市東海町５丁目３番地　日本製鉄(株)名古屋製鉄構内",名古屋支店　総務課　課長,吉川　努,052-603-2435,052-601-6625,240242　日鉄ファーストテック株式会社　名古屋支店　鋼板、帯鋼の梱包、整理等
2311-616854-5,23110-200659,愛知県,2311,591,75,3,250226,株式会社　東海イエローハット,トウカイイエローハット,448-0007,愛知県刈谷市東境町京和１,自動車に必要な用品の販売・取付・メンテナンス,162,160,96,64,0.1,ピットメカニック（整備士養成）,,115,188800,4.00,0.00,なし,名鉄名古屋本線,富士松,,,1,半田市、東海市、知多市,"技能（その他）",454-0806,愛知県名古屋市中川区澄池町３０４－２,本部採用担当,橋本　信也,0120-790-627,0566-88-0013,240262　株式会社　東海イエローハット　イエローハットでのピットメカニック（整備士養成）
2311-616854-5,23110-240459,愛知県,2311,591,34,3,250227,株式会社　東海イエローハット,トウカイイエローハット,448-0007,愛知県刈谷市東境町京和１,自動車に必要な用品の販売・取付・メンテナンス,162,160,96,64,0.1,店内スタッフ（レジ・受付・接客）,,115,188800,4.00,0.00,なし,名鉄名古屋本線,富士松,,,1,半田市、東海市、知多市,接客・販売,448-0007,愛知県刈谷市東境町京和１,本部採用担当,橋本　信也,0120-790-627,0566-88-0013,240263　株式会社　東海イエローハット　イエローハットでのレジ・フロント・店内販売スタッフ
2302-31044-8,23020-839359,愛知県,2302,562,45,5,250228,株式会社　アオキスーパー,アオキスーパー,453-0054,名古屋市中村区鳥居西通１丁目１番地,食品小売業,3804,73,24,49,0.5,営業販売職,,107,200000,3.00,0.00,シフト,地下鉄東山線,中村公園,,,1,名古屋市中村区、知多市、岡崎市,接客・販売,453-0054,名古屋市中村区鳥居西通１丁目１番地,人事部,井元　魁人,052-414-3601,052-414-3609,240164　株式会社　アオキスーパー　営業販売職
2302-31044-8,23020-847359,愛知県,2302,562,45,1,250229,株式会社　アオキスーパー,アオキスーパー,453-0054,名古屋市中村区鳥居西通１丁目１番地,食品小売業,3804,73,24,49,0.5,チェッカー職,,107,200000,2.50,0.00,シフト,地下鉄東山線,中村公園,,,1,名古屋市中村区、知多市、岡崎市,接客・販売,453-0054,名古屋市中村区鳥居西通１丁目１番地,人事部,井元　魁人,052-414-3601,052-414-3609,240165　株式会社　アオキスーパー　チェッカー職
2303-90043-1,23030-403959,愛知県,2303,225,71,12,250230,岡田工業　株式会社,オカダコウギョウ,457-0078,名古屋市南区塩屋町二丁目１,自動車及び各種産業用機械等の精密型鋳造部品、切削機械加工部品の製造,133,25,21,4,1,生産技術職（知多工場）,,115,192900,4.80,0.00,なし,名鉄常滑線,長浦,,,1,知多市,"技能（機械、製造、技術）",457-0078,名古屋市南区塩屋町二丁目１,経営管理部門　副部門長,都築　宏行,052-811-1106,052-821-2429,240239　岡田工業　株式会社　生産技術職（知多工場）
2303-90043-1,23030-399959,愛知県,2303,225,75,1,250231,岡田工業　株式会社,オカダコウギョウ,457-0078,名古屋市南区塩屋町二丁目１,自動車及び各種産業用機械等の精密型鋳造部品、切削機械加工部品の製造,133,108,91,17,1,設備保守保全職,,115,192900,4.80,0.00,シフト,JR東海道本線,笠寺,1,,,名古屋市南区,"技能（検査・管理）",457-0078,名古屋市南区塩屋町二丁目１,経営管理部門　副部門長,都築　宏行,052-811-1106,052-821-2429,240151　岡田工業　株式会社　設備保守保全職
2303-90043-1,23030-401759,愛知県,2303,225,7,7,250232,岡田工業　株式会社,オカダコウギョウ,457-0078,名古屋市南区塩屋町二丁目１,自動車及び各種産業用機械等の精密型鋳造部品、切削機械加工部品の製造,133,108,91,17,1,生産技術職,,115,192900,4.80,0.00,シフト,JR東海道本線,笠寺,1,,,名古屋市南区,"技能（機械、製造、技術）",457-0078,名古屋市南区塩屋町二丁目１,経営管理部門　副部門長,都築　宏行,052-811-1106,052-821-2429,240150　岡田工業　株式会社　生産技術職
2311-189020-3,23110-64459,愛知県,2311,193,69,6,250233,東海興業　株式会社,トウカイコウギョウ,474-8688,愛知県大府市長根町4-1,自動車用ゴム、樹脂等の開発及び製造、販売,1309,971,700,271,3,"オペレーター（技能）職、成形・加工作業、出荷検査等の業務",,121,200000,5.30,0.00,シフト,JR東海道本線,大府,1,,,大府市、半田市、高浜市,"技能（機械、製造、技術）",474-8688,愛知県大府市長根町4-1,総務部人事課　次長,丸山　慎一,0562-44-1501,0562-44-1590,"240315　東海興業　株式会社　オペレーター（技能）職、成形・加工作業、出荷検査等の業務"
2311-189476-0,23110-19359,愛知県,2311,61,92,3,250234,株式会社　鈴木軌道,スズキキドウ,474-0001,愛知県大府市北崎町井田２５２－６,東海道新幹線等の線路補修・保全,36,36,34,2,0.1,新幹線の保線作業員（軌道工）,,65,212500,0.00,48.00,なし,JR東海道本線,共和,1,,,大府市,"技能（検査・管理）",474-0001,愛知県大府市北崎町井田２５２－６,総務課,鈴木　陽子,0562-48-3020,0562-48-3033,230286　株式会社　鈴木軌道　新幹線レール整備スタッフ（軌道工）
2303-202274-4,23030-350159,愛知県,2303,259,39,1,250235,株式会社　ナゴヤダイス,ナゴヤダイス,459-8011,名古屋市緑区定納山一丁目４０１番地,金型設計、製作,38,38,25,13,0.1,品質管理事務,,113,185000,2.50,0.00,なし,JR東海道本線,南大高,,1,,名古屋市緑区,"技能（検査・管理）",459-8011,名古屋市緑区定納山一丁目４０１番地,総務,寺澤　美乃里,052-624-0202,052-624-0212,240240　株式会社　ナゴヤダイス　品質管理事務
2311-189279-1,23110-486659,愛知県,2311,183,74,11,250236,日多加産業　株式会社,ヒダカサンギョウ,474-0011,愛知県大府市横根町１５－１４,自動車、家電製品用プラスチック複合部品の設計及び製造・販売,45,45,25,20,0.1,プラスチック成形作業,,111,200000,2.20,0.00,2交代,JR東海道本線,大府,,,1,大府市,"技能（検査・管理）",474-0011,愛知県大府市横根町１５－１４,事業部　業務課,加藤　弘子,0562-46-1911,0562-46-1912,230207　日多加産業　株式会社　プラスチック成形作業
2311-189279-1,23110-485759,愛知県,2311,183,74,11,250237,日多加産業　株式会社,ヒダカサンギョウ,474-0011,愛知県大府市横根町１５－１４,自動車、家電製品用プラスチック複合部品の設計及び製造・販売,45,45,25,20,0.1,組立作業・品質検査,,111,200000,2.20,0.00,なし,JR東海道本線,大府,,,1,大府市,"技能（検査・管理）",474-0011,愛知県大府市横根町１５－１４,事業部　業務課,加藤　弘子,0562-46-1911,0562-46-1912,230206　日多加産業　株式会社　組立作業・品質検査
2307-200031-8,23070-399859,愛知県,2307,762,56,3,250238,株式会社　びっくり,ビックリ,475-0936,愛知県半田市板山町１４丁目８１,日本料理・うなぎ料理店の経営、不動産賃貸業,73,23,3,20,0.1,接客ホールスタッフ,,108,200000,0.00,16.00,なし,名鉄河和線,青山,,,2,半田市、大府市、西尾市,接客・販売,475-0936,愛知県半田市板山町１４丁目８１,総務部人事課,永田　麻衣子,0569-20-3700,0569-20-3800,230279　株式会社　びっくり　接客ホールスタッフ
2307-200031-8,23070-400759,愛知県,2307,762,55,8,250239,株式会社　びっくり,ビックリ,475-0936,愛知県半田市板山町１４丁目８１,日本料理・うなぎ料理店の経営、不動産賃貸事業,73,23,3,20,0.1,厨房スタッフ　調理見習い,,108,200000,0.00,16.00,なし,名鉄河和線,青山,,,2,半田市、大府市、西尾市,"技能（食品製造・調理）",475-0936,愛知県半田市板山町１４丁目８１,総務部人事課,永田　麻衣子,0569-20-3700,0569-20-3800,230280　株式会社　びっくり　厨房スタッフ　調理見習い
2307-180091-0,23070-248559,愛知県,2307,99,81,1,250240,ユタカフーズ　株式会社,ユタカフーズ　,470-2508,愛知県知多郡武豊町字川脇３４－１,食料品製造業（液体調味食品・粉末体食品など）,290,225,83,142,11.6,食料品製造職,,123,182400,7.71,0.00,シフト,JR武豊線,武豊,,,1,武豊町,"技能（食品製造・調理）",470-2508,愛知県知多郡武豊町字川脇３４－１,業務部総務経理課,鈴木,0569-72-1231,0569-72-3511,240316　ユタカフーズ　株式会社　食料品製造職
2311-402469-5,23110-206259,愛知県,2311,311,73,8,250241,株式会社　大和電化工業所,ダイワデンカコウギョウショ,474-0026,愛知県大府市桃山町２－１５８,自動車部品のめっき加工及び樹脂成型加工,190,190,101,89,0.1,"技能総合職（製造）",,116,180000,3.90,0.00,2交代,JR東海道本線,大府,1,,,大府市,"技能（機械、製造、技術）",474-0026,愛知県大府市桃山町２－１５８,総務部,鈴置　真也,0562-47-1325,0562-46-2326,"240198　株式会社　大和電化工業所　技能総合職（製造）"
2311-402469-5,23110-330959,愛知県,2311,311,71,11,250242,株式会社　大和電化工業所,ダイワデンカコウギョウショ,474-0026,愛知県大府市桃山町２－１５８,自動車部品のめっき加工及び樹脂成型加工,190,190,101,89,0.1,"技能一般職（検査・補助作業）",,116,180000,3.90,0.00,3交代,JR東海道本線,大府,,1,,大府市、東浦町、高浜市,"技能（検査・管理）",474-0026,愛知県大府市桃山町２－１５８,総務部,鈴置　真也,0562-47-1325,0562-46-2326,"240199　株式会社　大和電化工業所　技能一般職（検査・補助作業）"
2307-206230-2,23070-371759,愛知県,2307,296,40,1,250243,大一電機産業　株式会社,ダイイチデンキサンギョウ,476-0006,愛知県東海市浅山三丁目77番地,電子応用制御装置の開発設計・製造・販売・メンテナンスサービス,46,33,18,15,0.8,営業事務職,,115,188000,3.00,0.00,なし,名鉄常滑線,名和,,1,,東海市,事務,476-0006,愛知県東海市浅山三丁目77番地,管理部,山口,052-308-5111,052-308-5115,230306　大一電機産業　株式会社　営業職
2311-310326-0,23110-771359,愛知県,2311,184,7,8,250244,株式会社　イノアックコーポレーション,イノアックコーポレーション,470-2309,愛知県知多郡武豊町字梨子ノ木9-117,自動車関連部品、家電や情報機器部材、インテリア及びリビング用品などの製造販売,1910,47,39,8,7.2,"製造技能職（武豊工場）",,121,202000,5.00,0.00,2交代,名鉄河和線,上ゲ,1,,,武豊町,"技能（機械、製造、技術）",450-0003,名古屋市中村区名駅南2-13-4,人事部　採用課,黒川,050-3135-8877,052-583-1671,"240307　株式会社　イノアックコーポレーション　製造技能職（武豊工場）"
2311-310326-0,23110-769659,愛知県,2311,184,39,1,250245,株式会社　イノアックコーポレーション,イノアックコーポレーション,470-2309,愛知県知多郡武豊町字梨子ノ木9-117,自動車関連部品、家電や情報機器部材、インテリア及びリビング用品などの製造販売,1910,47,39,8,7.2,品質保証スタッフ（武豊工場）,,121,202000,5.00,0.00,なし,名鉄河和線,上ゲ,,,1,武豊町,"技能（検査・管理）",450-0003,名古屋市中村区名駅南2-13-4,人事部　採用課,黒川,050-3135-8877,052-583-1671
2302-30145-7,23020-1787059,愛知県,2302,421,87,1,250246,名古屋鉄道　株式会社,ナゴヤテツドウ　,450-8501,名古屋市中村区名駅1-2-4,鉄軌道事業・開発事業,5043,162,154,8,1011,鉄道エキスパート職（運輸係）,,121,210000,5.00,0.00,なし,名鉄名古屋本線,名鉄名古屋,,,1,名古屋市中村区、豊田市、県外,"技能（その他）",450-8501,名古屋市中村区名駅1-2-4,人事部　グループ人事担当,清水　一貴,052-825-3129,052-588-3107,240255　名古屋鉄道　株式会社　鉄道運輸係
2311-330414-7,23110-448159,愛知県,2311,183,78,6,250247,株式会社　サンシュウプレシジョン,サンシュウプレシジョン,475-0021,愛知県半田市洲の崎町2-169,OA機器、医療機器、自動車、産業機械などに必要な超精密プラスチック部品の製造,293,89,19,70,0.67,検査職【半田工場】,,115,200000,1.80,41.00,なし,JR武豊線,亀崎,,1,,半田市,"技能（検査・管理）",444-1321,愛知県高浜市稗田町4-1-55,総務　採用担当,採用担当者,0566-53-1140,0566-53-4956
